>0.5	>0.25	>0.075	>0.005	<0.005	w	e	a0.1-0.2
0	0	6	87	7	16.2	0.766	0.18
0	0	5	87	8	17	0.758	0.22
0	0	6	86	8	13.2	0.643	0.11
0	0	6	86	8	11.5	0.765	0.2
0	0	0	86	14	28.1	0.814	0.2
0	0	2	85	13	19.2	0.812	0.19
0	0	0	83	17	21	0.644	0.17
0	0	0	85	15	10.6	0.662	0.16
0	0	0	83	17	14.7	0.714	0.2
0	0	0	87	13	10.5	0.509	0.15
0	0	0	86	14	13.1	0.759	0.2
0	0	3	84	13	26.3	0.763	0.28
0	0	0	85	15	24.9	0.768	0.24
0	0	0	87	13	17.3	0.626	0.13
0	0	0	86	14	22.7	0.756	0.26
0	0	4	83	13	21.9	0.815	0.29
0	0	0	83	17	20.5	0.629	0.18
0	0	0	85	15	17.3	0.554	0.11
0	0	0	86	14	17.7	0.711	0.19
0	0	3	84	13	23.2	0.702	0.21
0	0	2.4	86.7	10.9	12.9	0.755	0.18
0	0	5	84.1	10.9	23.3	0.737	0.16
0	0	3.3	87.1	9.6	14.4	0.62	0.12
0	0	2.6	85.7	11.7	19.7	0.668	0.15
0	0	4	84	12	23.1	0.687	0.16
0	0	11	89	0	20	0.645	0.18
0	0	41	59	0	23.5	0.749	0.27
0	0	0	83	17	25.7	0.725	0.21
0	0	0	84	16	23.8	0.753	0.19
0	0	0	81	19	23.1	0.681	0.2
0	0	0	81	19	18.6	0.628	0.2
0	0	0	85	15	24.1	0.678	0.19
0	0	0	84	16	17.2	0.686	0.14
0	0	0	85	15	23.9	0.727	0.26
0	0	0	86	14	24.7	0.686	0.24
0	0	0	84	16	21.7	0.679	0.16
0	0	0	83	17	16.7	0.652	0.16
0	0	0	85	15	25.7	0.734	0.24
0	0	0	85	15	19.6	0.693	0.19
0	0	0	86	14	18.6	0.645	0.17
0	0	0	86	14	24	0.693	0.24
0	0	0	86	14	16.7	0.697	0.17
0	0	0	83	17	22.7	0.701	0.19
0	0	0	85	15	17.3	0.715	0.19
0	0	0	86	14	21	0.669	0.23
